yr,sero,strainID,coord1,coord2,is_missAG
2012,1,00829/12,5.795068449033144,-3.2526900010364033,0
2012,1,01133/12,5.358455747162638,-3.2302131042048323,0
2013,1,00090/13,4.434940456407824,-1.396737134362827,0
2013,1,00297/13,5.194498598642664,-2.5646696385464285,0
2013,1,00343/13,5.457854457884227,-3.5842848743164635,0
2013,1,00485/13,5.840908539503217,-3.3431021084759887,0
2014,1,00444/14,5.478568673258971,-3.0487114845408336,0
2014,1,00485/14,4.76599974389436,-2.726775813869685,0
2014,1,00554/14,5.0096796809454816,-2.3529354534848235,0
2014,1,00725/14,5.697632288359451,-3.524954611931439,0
1994,2,00126/94,-2.787475831159037,-1.5342133739969488,0
1994,2,00327/94,-3.093336345533206,-2.2479954354468883,0
1994,2,00523/94,-2.917707399445524,-2.4854036247092277,0
1994,2,01414/94,-3.7406220460335535,-2.582675334731017,0
1995,2,00773/95,-2.756706021756739,-1.2966139024047385,0
1995,2,00775/95,-2.927958007905008,-1.8288974386617003,0
1995,2,00976/95,-3.2791227468607924,-2.4535528617494937,0
1995,2,01656/95,-2.6181061909559853,-1.8164819107979495,0
1995,2,01800/95,-2.458933587161894,-2.8336404317909683,0
1996,2,00024/96,-3.0066782969697226,-2.306457054683634,0
1996,2,01163/96,-2.81905539194982,-2.5458760167564605,0
1996,2,01175/96,-0.23424970462205064,-1.7389479963563794,0
1996,2,01309/96,-1.9310376826877995,-1.6440780545067162,0
1996,2,02561/96,-3.4366944285880674,-1.6911730082579666,0
1997,2,05107/97,-0.9682643559171354,-2.2799905570263976,0
1998,2,00309/98,-2.908001005961294,-2.054982402434715,0
1998,2,00441/98,-2.354021833753027,-1.0509065739050232,0
1998,2,00554/98,-2.764587424218172,-1.3989623687972994,0
1998,2,01718/98,-1.9738116586500616,-1.678445071988909,0
1998,2,04648/98,-2.834512150061737,-1.7385515094660813,0
1998,2,06160/98,-3.792583040390848,-1.7856570536318368,0
1998,2,06895/98,-2.728425549384485,-1.307170310520221,0
1999,2,04177/99,-2.9054633442293945,-2.161957107616529,0
2000,2,00342/00,-2.7103896862228156,-1.8295753274365312,0
2000,2,01695/00,-2.4925204253359494,-1.9863248248509744,0
2000,2,01754/00,-2.828330909884762,-1.993714775895203,0
2000,2,05512/00,-2.858028028705195,-1.6662838282393908,0
