yr,sero,strainID,coord1,coord2,coord3,is_missAG
2006,1,01934/06,-3.462261814141629,-1.9382646797153589,0.09982781272120146,0
2006,1,02050/06,-3.675295943817729,-0.04073642514667936,1.6001083999258805,0
2006,1,02193/06,-4.185471852482403,-0.7276509966921203,0.5901633518858428,0
2006,1,02340/06,-5.5147437017220104,-1.518479480771624,1.233554463301408,0
2006,1,02509/06,-4.440627769348524,-0.37226837159203446,1.2040699747885653,0
2007,1,01479/07,-4.316631989083462,0.9647673838374082,0.7508404105266183,0
2008,1,H08-315,-3.423992098152042,-0.5078296031748757,0.7995821025016236,1
2008,1,L08-522,-3.494051973076208,-0.09733779494431989,1.1582937794469683,1
2008,1,31051/08,-3.912537380292758,-0.29240718480842304,0.38600902738083487,1
2008,1,31027/08,-3.1353627725541817,-1.1926331840522253,0.5462123405136343,1
2008,1,L08-311,-3.9879019816589607,-0.6169942065999127,1.0433775104118783,1
2009,1,30718/09,-3.812181525864378,-0.8409143602518807,0.39496779990375147,1
2009,1,30541/09,-5.226675161993718,-0.5547759527776153,0.7263535397351291,1
2009,1,30520/09,-4.306440768301132,-0.8495248893996604,0.7468374135922886,1
2009,1,30374/09,-3.912537380292758,-0.29240718480842304,0.38600902738083487,1
2009,1,30333/09,-3.1353627725541817,-1.1926331840522253,0.5462123405136343,1
2009,1,L09-085,-3.9879019816589607,-0.6169942065999127,1.0433775104118783,1
2009,1,30207/09,-3.494051973076208,-0.09733779494431989,1.1582937794469683,1
2010,1,00792/10,-5.495063596701364,-0.9892813093278544,0.8593188700211049,0
2010,1,01327/10,-5.3563489149281525,-1.3061630776496205,0.7060884337237526,0
2010,1,01510/10,-3.5915898183073884,-1.5988622249939823,0.670225854206172,0
2010,1,01518/10,-5.080929245658595,-1.2839154531103454,1.0725264547797226,0
2011,1,00330/11,-5.021291718294877,-0.10018755380533843,0.8234489729784051,0
2011,1,00577/11,-5.001678961245695,-1.3737618805014626,0.980398858593854,0
2011,1,01392/11,-5.307660558873449,-1.7576090610453066,0.877687120940648,0
2011,1,01450/11,-5.609371683920319,-0.6193697059946561,1.0309517236796846,0
2012,1,00511/12,-4.625313052849756,-1.315142925850052,0.6033624714363476,0
2012,1,00777/12,-3.927418803772773,-1.5530019234830033,-0.06259617344253078,0
2012,1,00829/12,-5.3691526027117815,-0.930130700746175,0.879734170077038,0
2012,1,01133/12,-4.937721345644329,-1.160437471040449,-0.01564836950387673,0
2013,1,00090/13,-2.6813749177981627,0.4058883818020329,1.372480420863221,0
2013,1,00297/13,-4.381485648855761,-0.829237933501079,0.7585197796634761,0
2013,1,00343/13,-5.7445216747865535,-0.6508629804679081,-0.7327434009703983,0
2013,1,00485/13,-5.535674062967007,-0.7649499121364034,0.9810816497347306,0
2014,1,00444/14,-5.004934568846695,-0.8573097823635026,0.5411245558875053,0
2014,1,00485/14,-4.293653671966861,-0.16069091598125404,0.5847814486038189,0
2014,1,00554/14,-3.955697408158471,-0.8995184588946786,0.728359245487572,0
2014,1,00725/14,-5.65693385952092,0.06237531383411749,1.1429623039482235,0
1994,2,00126/94,0.997406168137296,3.944537333539821,-0.15366256612104504,0
1994,2,00327/94,1.7924499574207635,3.6452067831697734,-1.7361008211576072,0
1994,2,00523/94,1.41645605137398,3.770897142519124,-1.7794007968516958,0
1994,2,01414/94,2.2561390010778326,4.3024972073860175,-1.5080559439564734,0
1995,2,00773/95,1.5421875268750946,3.350309828769665,-0.3919866512745725,0
1995,2,00775/95,1.0288173360861277,4.205245404109016,-0.330810297207017,0
1995,2,00976/95,0.32303624459640173,4.928354547584177,-0.12233250381710728,0
1995,2,01656/95,0.8268185966058971,3.7655524995310694,-0.22314439317142457,0
1995,2,01800/95,0.6449790040648196,4.010779954405121,-1.158454117625069,0
1996,2,00024/96,0.5372244848948805,4.62647837825793,-0.5241263761055949,0
1996,2,01163/96,1.3623164612877106,3.7677538695804857,-1.75304299373846,0
1996,2,01175/96,-0.21082199473288,1.6359776370373906,-0.7190307786007265,0
1996,2,01309/96,1.049027563422221,2.57223237231496,-0.9120218318378356,0
1996,2,02561/96,2.3991745913970703,3.677110439193537,-1.4443414181782892,0
1997,2,05107/97,0.02207505320409878,2.544357734112861,-0.6820292365747413,0
1998,2,00309/98,0.597506234786895,4.304186306573025,-0.20344348482038951,0
1998,2,00441/98,0.9941080029396095,3.0622240754067445,-0.07136175298933037,0
1998,2,00554/98,0.452588832429255,3.914080741147624,0.2738896109743549,0
1998,2,01718/98,0.2400980619888669,3.112943235199797,-0.2331424854476888,0
1998,2,04648/98,-0.5187914646789068,4.295502481429874,0.4956443967496432,0
1998,2,06160/98,2.504854729550318,4.320646770206653,-0.9569946698411966,0
1998,2,06895/98,0.225352680735402,3.916224942543871,0.648178361876909,0
1999,2,04177/99,1.680527066449233,3.59189897557168,-1.6305947866724542,0
2000,2,00342/00,0.01098161991556772,4.116759571932617,0.09519309839023092,0
2000,2,01695/00,1.1090617487866816,3.4765039978197567,-0.940544744500419,0
2000,2,01754/00,-0.02128470970157559,4.318746309642373,-0.00698713916468586,0
2000,2,05512/00,-0.6629480777179556,4.346405024223658,0.13886650275078954,0
2000,2,05529/00,0.11155129039727717,4.792698067026371,0.23296322102312775,0
2000,2,05855/00,-0.8723585431974391,5.395897775534942,0.5745456642271519,0
